OpenGL Version:    3.000 .    3.000 
texture loaded ( w:  512.000 h:  512.000 nchan:    3.000 ) 
texture loaded ( w:  512.000 h:  512.000 nchan:    4.000 ) 
level test slurped from disk successfully 
model < cube > slurped from disk successfully 
face id:     1.000 normal id:    1.000 
face id:    22.000 normal id:   22.000 
face id:     9.000 normal id:    9.000 
face id:     1.000 normal id:    1.000 
face id:    24.000 normal id:   24.000 
face id:    11.000 normal id:   11.000 
face id:     1.000 normal id:    1.000 
face id:    26.000 normal id:   26.000 
face id:    10.000 normal id:   10.000 
face id:     2.000 normal id:    2.000 
face id:    22.000 normal id:   22.000 
face id:    13.000 normal id:   13.000 
face id:     2.000 normal id:    2.000 
face id:    23.000 normal id:   23.000 
face id:    12.000 normal id:   12.000 
face id:     2.000 normal id:    2.000 
face id:    26.000 normal id:   26.000 
face id:     9.000 normal id:    9.000 
face id:     3.000 normal id:    3.000 
face id:    21.000 normal id:   21.000 
face id:    15.000 normal id:   15.000 
face id:     3.000 normal id:    3.000 
face id:    24.000 normal id:   24.000 
face id:    10.000 normal id:   10.000 
face id:     3.000 normal id:    3.000 
face id:    26.000 normal id:   26.000 
face id:    14.000 normal id:   14.000 
face id:     4.000 normal id:    4.000 
face id:    21.000 normal id:   21.000 
face id:    14.000 normal id:   14.000 
face id:     4.000 normal id:    4.000 
face id:    23.000 normal id:   23.000 
face id:    16.000 normal id:   16.000 
face id:     4.000 normal id:    4.000 
face id:    26.000 normal id:   26.000 
face id:    12.000 normal id:   12.000 
face id:     5.000 normal id:    5.000 
face id:    22.000 normal id:   22.000 
face id:    11.000 normal id:   11.000 
face id:     5.000 normal id:    5.000 
face id:    24.000 normal id:   24.000 
face id:    18.000 normal id:   18.000 
face id:     5.000 normal id:    5.000 
face id:    25.000 normal id:   25.000 
face id:    17.000 normal id:   17.000 
face id:     6.000 normal id:    6.000 
face id:    22.000 normal id:   22.000 
face id:    17.000 normal id:   17.000 
face id:     6.000 normal id:    6.000 
face id:    23.000 normal id:   23.000 
face id:    13.000 normal id:   13.000 
face id:     6.000 normal id:    6.000 
face id:    25.000 normal id:   25.000 
face id:    19.000 normal id:   19.000 
face id:     7.000 normal id:    7.000 
face id:    21.000 normal id:   21.000 
face id:    20.000 normal id:   20.000 
face id:     7.000 normal id:    7.000 
face id:    24.000 normal id:   24.000 
face id:    15.000 normal id:   15.000 
face id:     7.000 normal id:    7.000 
face id:    25.000 normal id:   25.000 
face id:    18.000 normal id:   18.000 
face id:     8.000 normal id:    8.000 
face id:    21.000 normal id:   21.000 
face id:    16.000 normal id:   16.000 
face id:     8.000 normal id:    8.000 
face id:    23.000 normal id:   23.000 
face id:    19.000 normal id:   19.000 
face id:     8.000 normal id:    8.000 
face id:    25.000 normal id:   25.000 
face id:    20.000 normal id:   20.000 
face id:     9.000 normal id:    9.000 
face id:    22.000 normal id:   22.000 
face id:     2.000 normal id:    2.000 
face id:     9.000 normal id:    9.000 
face id:    26.000 normal id:   26.000 
face id:     1.000 normal id:    1.000 
face id:    10.000 normal id:   10.000 
face id:    24.000 normal id:   24.000 
face id:     1.000 normal id:    1.000 
face id:    10.000 normal id:   10.000 
face id:    26.000 normal id:   26.000 
face id:     3.000 normal id:    3.000 
face id:    11.000 normal id:   11.000 
face id:    22.000 normal id:   22.000 
face id:     1.000 normal id:    1.000 
face id:    11.000 normal id:   11.000 
face id:    24.000 normal id:   24.000 
face id:     5.000 normal id:    5.000 
face id:    12.000 normal id:   12.000 
face id:    23.000 normal id:   23.000 
face id:     4.000 normal id:    4.000 
face id:    12.000 normal id:   12.000 
face id:    26.000 normal id:   26.000 
face id:     2.000 normal id:    2.000 
face id:    13.000 normal id:   13.000 
face id:    22.000 normal id:   22.000 
face id:     6.000 normal id:    6.000 
face id:    13.000 normal id:   13.000 
face id:    23.000 normal id:   23.000 
face id:     2.000 normal id:    2.000 
face id:    14.000 normal id:   14.000 
face id:    21.000 normal id:   21.000 
face id:     3.000 normal id:    3.000 
face id:    14.000 normal id:   14.000 
face id:    26.000 normal id:   26.000 
face id:     4.000 normal id:    4.000 
face id:    15.000 normal id:   15.000 
face id:    21.000 normal id:   21.000 
face id:     7.000 normal id:    7.000 
face id:    15.000 normal id:   15.000 
face id:    24.000 normal id:   24.000 
face id:     3.000 normal id:    3.000 
face id:    16.000 normal id:   16.000 
face id:    21.000 normal id:   21.000 
face id:     4.000 normal id:    4.000 
face id:    16.000 normal id:   16.000 
face id:    23.000 normal id:   23.000 
face id:     8.000 normal id:    8.000 
face id:    17.000 normal id:   17.000 
face id:    22.000 normal id:   22.000 
face id:     5.000 normal id:    5.000 
face id:    17.000 normal id:   17.000 
face id:    25.000 normal id:   25.000 
face id:     6.000 normal id:    6.000 
face id:    18.000 normal id:   18.000 
face id:    24.000 normal id:   24.000 
face id:     7.000 normal id:    7.000 
face id:    18.000 normal id:   18.000 
face id:    25.000 normal id:   25.000 
face id:     5.000 normal id:    5.000 
face id:    19.000 normal id:   19.000 
face id:    23.000 normal id:   23.000 
face id:     6.000 normal id:    6.000 
face id:    19.000 normal id:   19.000 
face id:    25.000 normal id:   25.000 
face id:     8.000 normal id:    8.000 
face id:    20.000 normal id:   20.000 
face id:    21.000 normal id:   21.000 
face id:     8.000 normal id:    8.000 
face id:    20.000 normal id:   20.000 
face id:    25.000 normal id:   25.000 
face id:     7.000 normal id:    7.000 
box cube vec3(0.000000, 0.000000, 1.000000) vec3(0.000000, 0.000000, 0.000000) 
